feature,gain,weight,cover
rating_diff,29078.12109375,726.0,14853.630859375
DIFF_ADV_OFFRTG_roll10_mean,4873.404296875,128.0,11813.1015625
DIFF_ADV_DEFRTG_roll10_mean,3409.946044921875,184.0,10416.4345703125
is_playoffs,1951.7896728515625,53.0,8237.736328125
DIFF_FF_EFG_PCT_roll5_mean,1926.1756591796875,11.0,2192.0908203125
DIFF_ADV_OFFRTG_roll5_mean,1877.4273681640625,40.0,7080.02490234375
DIFF_rest_days_roll10_mean,1811.5914306640625,151.0,12314.3837890625
DIFF_ADV_TS_PCT_roll10_mean,1785.580322265625,60.0,5250.2666015625
DIFF_MISC_PTS_OFF_TO_roll5_mean,1769.4908447265625,37.0,6412.0
DIFF_ADV_AST_PCT_roll10_mean,1743.9871826171875,26.0,2096.115478515625
DIFF_SCOR_PCTFGA_2PT_roll3_mean,1738.217529296875,7.0,6260.4287109375
DIFF_FF_EFG_PCT_roll10_mean,1708.84326171875,34.0,8434.6474609375
DIFF_FF_OPP_FTA_RATE_roll5_mean,1706.904052734375,20.0,6084.0498046875
DIFF_TRAD_3PA_roll10_mean,1702.2396240234375,14.0,8918.2861328125
DIFF_TRAD_FG_PCT_roll10_mean,1702.09814453125,44.0,9984.75
DIFF_MISC_OPP_PITP_roll10_mean,1675.77587890625,59.0,8259.35546875
DIFF_FF_OPP_FTA_RATE_roll10_std,1675.257080078125,32.0,2711.1875
DIFF_FF_OPP_FTA_RATE_roll10_mean,1670.50537109375,60.0,9324.150390625
DIFF_ADV_PACE_roll3_mean,1658.3704833984375,35.0,4817.14306640625
DIFF_ADV_DEFRTG_roll3_std,1608.3250732421875,43.0,8890.3955078125
DIFF_SCOR_PCTPTS_2PT_MR_roll3_mean,1602.70166015625,36.0,6127.388671875
DIFF_FF_OPP_EFG_PCT_roll5_mean,1590.737548828125,20.0,6589.25
DIFF_TRAD_3P_PCT_roll5_mean,1584.927490234375,25.0,4263.47998046875
DIFF_TRAD_PF_roll5_mean,1579.685302734375,33.0,3977.848388671875
DIFF_ADV_TS_PCT_roll3_mean,1556.2742919921875,21.0,4603.28564453125
DIFF_TRAD_BLK_roll3_mean,1551.1871337890625,18.0,5612.83349609375
DIFF_SCOR_PCTFGA_2PT_roll5_mean,1546.045654296875,21.0,7392.66650390625
DIFF_ADV_TS_PCT_roll3_std,1539.1453857421875,34.0,4315.05859375
DIFF_FF_OREB_PCT_roll3_mean,1536.944091796875,42.0,3895.59521484375
DIFF_ADV_DEFRTG_roll5_mean,1534.077880859375,68.0,9461.662109375
DIFF_ADV_AST_RATIO_roll10_std,1531.973876953125,42.0,2486.78564453125
