feature,gain,weight,cover
rating_diff,16878.96875,738.0,9015.69921875
DIFF_ADV_OFFRTG_roll10_mean,5327.0439453125,184.0,7059.423828125
DIFF_ADV_DEFRTG_roll10_mean,3369.3408203125,264.0,6178.064453125
is_playoffs,1746.6666259765625,40.0,7814.52490234375
DIFF_FF_EFG_PCT_roll10_mean,1466.8109130859375,51.0,4307.41162109375
DIFF_ADV_TS_PCT_roll10_mean,1450.92822265625,94.0,4349.32958984375
DIFF_rest_days_roll10_mean,1436.2869873046875,198.0,7563.767578125
DIFF_SCOR_PCTFGA_3PT_roll3_mean,1353.469482421875,26.0,3273.576904296875
DIFF_FF_OPP_FTA_RATE_roll10_mean,1268.069580078125,134.0,5212.42529296875
DIFF_MISC_OPP_PTS_OFF_TO_roll10_mean,1263.1639404296875,94.0,5342.36181640625
DIFF_FF_OPP_EFG_PCT_roll10_mean,1259.9527587890625,180.0,6671.74462890625
DIFF_TRAD_3PA_roll3_mean,1246.4754638671875,90.0,7457.04443359375
DIFF_TRAD_FG_PCT_roll10_mean,1242.2161865234375,93.0,3956.656005859375
DIFF_ADV_EFG_PCT_roll10_mean,1230.9500732421875,60.0,4021.300048828125
DIFF_ADV_DEFRTG_roll3_mean,1229.5579833984375,111.0,3075.93701171875
DIFF_TRAD_FGM_roll10_mean,1229.3284912109375,82.0,5808.9267578125
YEAR,1228.7652587890625,101.0,3847.406005859375
DIFF_MISC_OPP_PITP_roll10_mean,1225.9842529296875,137.0,4619.39404296875
DIFF_SCOR_PCTFGA_3PT_roll10_mean,1212.949462890625,39.0,7108.84619140625
DIFF_TRAD_3P_PCT_roll10_mean,1202.8809814453125,127.0,4937.70849609375
DIFF_rest_days_roll5_mean,1181.1102294921875,95.0,5975.15771484375
DIFF_SCOR_FGM__PCTUAST_roll3_mean,1180.134521484375,22.0,4543.9091796875
DIFF_TRAD_3PA_roll10_mean,1175.38134765625,58.0,5105.53466796875
DIFF_TRAD_FGM_roll3_mean,1175.375244140625,84.0,6018.28564453125
DIFF_TRAD_BLK_roll10_mean,1171.193603515625,140.0,5402.6787109375
DIFF_SCOR_2FGM__PCTAST_roll10_mean,1168.2352294921875,77.0,2438.8310546875
DIFF_ADV_AST_PCT_roll10_mean,1166.6767578125,56.0,1740.2142333984375
DIFF_FF_OPP_TOV_PCT_roll3_mean,1163.5242919921875,92.0,2782.152099609375
DIFF_TRAD_3P_PCT_roll3_mean,1163.1143798828125,115.0,3973.243408203125
DIFF_FF_OREB_PCT_roll3_mean,1162.190673828125,65.0,5039.04638671875
DIFF_SCOR_PCTPTS_3PT_roll3_mean,1158.600830078125,70.0,3212.271484375
DIFF_FF_TOV_PCT_roll10_mean,1157.60205078125,42.0,4942.880859375
DIFF_TRAD_TOV_roll10_mean,1156.7957763671875,67.0,5195.38818359375
DIFF_SCOR_FGM__PCTUAST_roll10_mean,1154.738037109375,17.0,4326.05859375
DIFF_TRAD_REB_roll10_mean,1154.16455078125,88.0,6157.5341796875
DIFF_FF_TOV_PCT_roll3_mean,1153.4283447265625,38.0,4848.89453125
DIFF_MISC_OPP_2ND_PTS_roll10_mean,1153.1474609375,128.0,5077.7578125
DIFF_ADV_AST_TO_roll10_mean,1152.8116455078125,111.0,3909.234130859375
DIFF_ADV_TS_PCT_roll3_mean,1151.2142333984375,74.0,4057.0810546875
DIFF_TRAD_PF_roll10_mean,1146.4234619140625,100.0,4479.990234375
DIFF_SCOR_PCTPTS_2PT_roll10_mean,1145.1385498046875,78.0,4542.76904296875
DIFF_MISC_OPP_PITP_roll3_mean,1142.7315673828125,117.0,4729.87158203125
DIFF_rest_days_roll3_mean,1139.89013671875,86.0,8534.5810546875
DIFF_FF_FTA_RATE_roll3_mean,1133.440673828125,75.0,3115.05322265625
DIFF_MISC_OPP_FBPS_roll10_mean,1128.6839599609375,121.0,5889.322265625
DIFF_MISC_PITP_roll10_mean,1124.984130859375,84.0,4956.58349609375
DIFF_ADV_PACE_roll3_mean,1124.7933349609375,124.0,4800.7177734375
DIFF_ADV_REB_PCT_roll10_mean,1120.851806640625,106.0,3729.018798828125
DIFF_FF_OREB_PCT_roll10_mean,1118.4605712890625,63.0,7075.5712890625
DIFF_SCOR_3FGM__PCTAST_roll10_mean,1116.051025390625,79.0,3445.025390625
DIFF_SCOR_PCTPTS_2PT_MR_roll3_mean,1113.188232421875,98.0,3607.346923828125
DIFF_SCOR_PCTFGA_2PT_roll10_mean,1113.036865234375,64.0,3568.765625
DIFF_MISC_PTS_OFF_TO_roll10_mean,1112.25732421875,79.0,4220.2529296875
DIFF_SCOR_PCTPTS_FBPS_roll10_mean,1112.16162109375,98.0,2731.275390625
DIFF_FF_OPP_OREB_PCT_roll3_mean,1109.9378662109375,46.0,5605.5
DIFF_SCOR_PCTPTS_OFF_TO_roll10_mean,1109.5767822265625,89.0,4114.10107421875
DIFF_SCOR_PCTPTS_2PT_roll3_mean,1108.1607666015625,69.0,3228.478271484375
DIFF_SCOR_3FGM__PCTUAST_roll10_mean,1106.9130859375,99.0,6993.27294921875
DIFF_TRAD_3PM_roll3_mean,1106.797607421875,45.0,7423.24462890625
DIFF_SCOR_PCTPTS_FBPS_roll3_mean,1106.6875,94.0,3998.595703125
DIFF_TRAD_REB_roll3_mean,1106.0296630859375,80.0,3800.8125
DIFF_SCOR_PCTPTS_FT_roll10_mean,1104.8070068359375,92.0,5493.59765625
DIFF_SCOR_PCTPTS_2PT_MR_roll10_mean,1104.47998046875,111.0,4018.55859375
DIFF_SCOR_2FGM__PCTUAST_roll3_mean,1100.3338623046875,35.0,4957.60009765625
DIFF_SCOR_FGM__PCTAST_roll10_mean,1100.0052490234375,26.0,4871.6923828125
DIFF_TRAD_AST_roll10_mean,1099.7274169921875,58.0,4063.87939453125
DIFF_MISC_PITP_roll3_mean,1099.2496337890625,82.0,3931.634033203125
DIFF_FF_OPP_EFG_PCT_roll3_mean,1099.1954345703125,95.0,2901.936767578125
DIFF_FF_OPP_OREB_PCT_roll10_mean,1098.5654296875,54.0,5289.0556640625
DIFF_TRAD_FT_PCT_roll10_mean,1093.093017578125,108.0,5368.67578125
DIFF_SCOR_PCTPTS_PITP_roll3_mean,1092.07275390625,109.0,4360.3671875
DIFF_ADV_TOV_PCT_roll3_mean,1091.9144287109375,48.0,4304.72900390625
DIFF_TRAD_FTM_roll10_mean,1091.2099609375,67.0,5131.8505859375
DIFF_SCOR_PCTPTS_OFF_TO_roll3_mean,1090.515869140625,107.0,4739.38330078125
DIFF_TRAD_DREB_roll10_mean,1089.8369140625,102.0,4458.58837890625
DIFF_SCOR_2FGM__PCTAST_roll3_mean,1088.8411865234375,90.0,3407.888916015625
DIFF_TRAD_FT_PCT_roll3_mean,1086.563232421875,90.0,2474.466552734375
DIFF_TRAD_BLK_roll3_mean,1085.779296875,71.0,3134.971923828125
DIFF_ADV_EFG_PCT_roll3_mean,1085.6099853515625,37.0,2078.45947265625
DIFF_MISC_FBPS_roll3_mean,1083.5968017578125,71.0,3291.873291015625
DIFF_FF_EFG_PCT_roll3_mean,1083.5118408203125,36.0,5032.5
DIFF_ADV_OFFRTG_roll3_mean,1083.1827392578125,89.0,3100.76416015625
DIFF_MISC_FBPS_roll10_mean,1081.9183349609375,91.0,5395.72509765625
DIFF_TRAD_AST_roll3_mean,1081.761962890625,41.0,5575.39013671875
DIFF_FF_OPP_TOV_PCT_roll10_mean,1076.3642578125,100.0,4457.2998046875
DIFF_ADV_AST_TO_roll3_mean,1075.4613037109375,81.0,4316.271484375
DIFF_TRAD_FTM_roll3_mean,1075.1053466796875,57.0,6022.22802734375
DIFF_TRAD_TOV_roll3_mean,1070.8968505859375,57.0,4262.3857421875
DIFF_ADV_PACE_roll10_mean,1069.468994140625,114.0,6480.447265625
DIFF_SCOR_PCTFGA_2PT_roll3_mean,1068.6590576171875,59.0,2896.898193359375
DIFF_MISC_2ND_PTS_roll10_mean,1067.1129150390625,95.0,3741.189453125
DIFF_ADV_REB_PCT_roll3_mean,1061.636474609375,95.0,5236.73681640625
DIFF_ADV_DREB_PCT_roll10_mean,1060.02197265625,74.0,2434.337890625
DIFF_SCOR_2FGM__PCTUAST_roll10_mean,1059.7408447265625,27.0,4786.111328125
DIFF_TRAD_FG_PCT_roll3_mean,1054.9891357421875,69.0,2791.0869140625
DIFF_FF_OPP_FTA_RATE_roll3_mean,1052.9537353515625,122.0,4531.86083984375
DIFF_FF_FTA_RATE_roll10_mean,1051.406982421875,81.0,2856.901123046875
DIFF_MISC_PTS_OFF_TO_roll3_mean,1048.5286865234375,65.0,5248.5078125
DIFF_TRAD_PF_roll3_mean,1047.5130615234375,70.0,4121.85693359375
DIFF_TRAD_STL_roll3_mean,1046.147705078125,63.0,3785.793701171875
DIFF_ADV_AST_RATIO_roll10_mean,1045.4700927734375,59.0,4605.05078125
DIFF_TRAD_OREB_roll10_mean,1044.125244140625,53.0,3369.282958984375
DIFF_ADV_AST_PCT_roll3_mean,1040.7242431640625,57.0,3032.5615234375
DIFF_MISC_OPP_FBPS_roll3_mean,1038.788330078125,85.0,5214.56494140625
DIFF_ADV_AST_RATIO_roll3_mean,1036.9827880859375,76.0,4167.9736328125
