feature,gain,weight,cover
rating_diff,20564.427734375,634.0,8987.8544921875
DIFF_ADV_OFFRTG_roll3_mean,4014.7314453125,113.0,5285.884765625
DIFF_ADV_DEFRTG_roll3_mean,2559.401123046875,155.0,6443.07763671875
DIFF_FF_OPP_EFG_PCT_roll3_mean,1780.042236328125,105.0,5588.01904296875
is_playoffs,1722.5537109375,39.0,6041.64111328125
DIFF_SCOR_PCTFGA_2PT_roll3_mean,1641.7109375,67.0,3590.940185546875
DIFF_rest_days_roll10_mean,1503.2930908203125,163.0,7690.20849609375
DIFF_ADV_TS_PCT_roll3_mean,1397.968505859375,77.0,4105.220703125
DIFF_FF_EFG_PCT_roll3_mean,1369.711181640625,35.0,5257.8857421875
DIFF_rest_days_roll5_mean,1365.948486328125,75.0,5769.546875
DIFF_SCOR_PCTFGA_3PT_roll3_mean,1335.698974609375,31.0,5425.8388671875
DIFF_MISC_OPP_PITP_roll3_mean,1319.1461181640625,94.0,6976.25537109375
DIFF_FF_EFG_PCT_roll3_std,1294.7889404296875,29.0,4416.0
DIFF_SCOR_2FGM__PCTUAST_roll3_std,1282.2091064453125,32.0,5495.21875
DIFF_TRAD_3P_PCT_roll3_mean,1270.3785400390625,124.0,5341.0
DIFF_ADV_DEFRTG_roll3_std,1259.1812744140625,98.0,4500.28564453125
DIFF_TRAD_3PA_roll3_mean,1256.672607421875,104.0,7647.3271484375
DIFF_ADV_EFG_PCT_roll3_std,1256.435302734375,91.0,4352.67041015625
YEAR,1250.5172119140625,107.0,4716.53271484375
DIFF_ADV_AST_TO_roll3_mean,1247.7630615234375,87.0,4133.78173828125
DIFF_FF_OREB_PCT_roll3_std,1244.0621337890625,64.0,5287.0
DIFF_SCOR_PCTPTS_2PT_roll3_mean,1231.81103515625,81.0,4030.46923828125
DIFF_SCOR_3FGM__PCTUAST_roll3_mean,1225.8697509765625,75.0,4044.639892578125
DIFF_MISC_FBPS_roll3_std,1223.849365234375,119.0,4560.10107421875
DIFF_SCOR_PCTPTS_OFF_TO_roll3_mean,1217.031494140625,84.0,5905.130859375
