feature,gain,weight,cover
rating_diff,5617.83203125,761.0,5522.60986328125
DIFF_TR_RATING_ROLL5,5529.00341796875,633.0,6053.18505859375
DIFF_TR_RATING_PRE,4563.72119140625,166.0,5894.55419921875
DIFF_TR_RATING_ROLL10,2576.43310546875,736.0,5280.44677734375
is_playoffs,797.9510498046875,71.0,6519.8310546875
HOME_ELO_PRE,765.1984252929688,745.0,5466.57177734375
HOME_TR_RATING_ROLL10,758.090087890625,736.0,5189.03955078125
HOME_TR_RATING_ROLL5,755.7659912109375,593.0,5178.5009765625
AWAY_TR_RATING_PRE,741.5276489257812,181.0,4761.65185546875
AWAY_TR_RATING_ROLL5,733.286376953125,668.0,6375.8681640625
AWAY_TR_RATING_ROLL10,730.1901245117188,770.0,5678.17919921875
AWAY_ELO_PRE,713.9380493164062,757.0,5509.1083984375
HOME_TR_RATING_PRE,709.6972045898438,177.0,5450.19775390625
AWAY_TR_RATING_DELTA,687.9277954101562,985.0,4931.45458984375
YEAR,687.3003540039062,797.0,3450.805419921875
HOME_TR_RATING_DELTA,684.8202514648438,1031.0,5317.3095703125
DIFF_TR_RATING_DELTA,672.8295288085938,1036.0,5565.62939453125
