feature,gain,weight,cover
DIFF_TRAD_FG_PCT_roll10_mean,185.59910583496094,64.0,2403.84375
rating_diff,177.20480346679688,681.0,3149.26904296875
DIFF_TRAD_3PA_roll3_mean,168.02427673339844,14.0,3547.751708984375
DIFF_TRAD_FG_PCT_roll5_mean,153.94325256347656,28.0,2343.074951171875
DIFF_TRAD_3PA_roll5_mean,146.16641235351562,8.0,4011.76220703125
DIFF_TRAD_3PM_roll10_mean,137.4059600830078,4.0,3081.28857421875
DIFF_TRAD_3PA_roll10_mean,125.95594787597656,13.0,3576.7138671875
YEAR,68.7711181640625,95.0,1437.738037109375
DIFF_TRAD_STL_roll5_mean,68.0367202758789,24.0,2316.768798828125
DIFF_TRAD_AST_roll10_mean,55.95085525512695,6.0,2370.453369140625
DIFF_TRAD_FT_PCT_roll3_std,54.32170104980469,29.0,2252.993408203125
DIFF_TRAD_FTA_roll3_std,44.741607666015625,29.0,1662.24072265625
DIFF_TRAD_3P_PCT_roll10_mean,43.99185562133789,26.0,1957.26904296875
DIFF_TRAD_FT_PCT_roll5_std,43.001583099365234,24.0,2496.871337890625
DIFF_TRAD_FTM_roll5_std,39.03913879394531,16.0,2840.136962890625
DIFF_ADV_DEFRTG_roll10_mean,38.479393005371094,182.0,2528.360107421875
DIFF_TRAD_OREB_roll3_std,37.66215896606445,9.0,1287.7264404296875
DIFF_TRAD_TOV_roll3_mean,37.51264953613281,19.0,1715.330810546875
DIFF_TRAD_DREB_roll10_mean,35.88934326171875,20.0,1550.35986328125
DIFF_TRAD_TOV_roll5_mean,35.81884002685547,10.0,1292.249267578125
DIFF_TRAD_3PA_roll5_std,34.265052795410156,32.0,1361.3272705078125
DIFF_ADV_OFFRTG_roll10_mean,33.27620315551758,166.0,2591.51904296875
DIFF_TRAD_OREB_roll5_std,31.747987747192383,7.0,1677.1517333984375
DIFF_TRAD_TOV_roll5_std,31.695722579956055,17.0,1309.8919677734375
DIFF_MISC_OPP_PITP_roll10_mean,31.674667358398438,19.0,2017.2755126953125
DIFF_TRAD_3P_PCT_roll5_mean,29.579267501831055,13.0,892.7659301757812
DIFF_TRAD_REB_roll10_mean,29.21954345703125,10.0,1997.68359375
DIFF_TRAD_3P_PCT_roll3_std,28.7449893951416,7.0,493.5890808105469
DIFF_TRAD_3P_PCT_roll3_mean,28.049728393554688,32.0,2380.310791015625
DIFF_TRAD_3PM_roll5_mean,26.639257431030273,4.0,1206.3790283203125
