feature,gain,weight,cover
rating_diff,106.15645599365234,2709.0,988.1261596679688
DIFF_TR_RATING_PRE,67.88737487792969,2153.0,827.5635375976562
HOME_ELO_PRE,57.86029052734375,222.0,898.9452514648438
YEAR,52.62266540527344,959.0,571.9789428710938
HOME_TR_RATING_PRE,47.76220703125,174.0,556.064453125
DIFF_TR_RATING_ROLL5,40.775115966796875,481.0,589.9458618164062
AWAY_ELO_PRE,33.167083740234375,189.0,691.9680786132812
AWAY_TR_RATING_PRE,29.19466209411621,180.0,409.86358642578125
DIFF_TR_RATING_ROLL10,14.870348930358887,140.0,390.75030517578125
AWAY_TR_RATING_ROLL5,7.614271640777588,23.0,217.13833618164062
HOME_TR_RATING_ROLL5,6.760197162628174,27.0,203.17001342773438
DIFF_TR_RATING_DELTA,4.603097915649414,46.0,653.0629272460938
HOME_TR_RATING_ROLL10,3.403839111328125,59.0,110.0296630859375
HOME_TR_RATING_DELTA,3.2067272663116455,51.0,536.4273681640625
AWAY_TR_RATING_DELTA,2.9410295486450195,38.0,547.0160522460938
AWAY_TR_RATING_ROLL10,2.90909743309021,51.0,75.51744842529297
is_playoffs,0.0,0.0,0.0
