GAME_ID,TEAM_ID,TEAM_ABBREVIATION,GAME_DATE,SEASON_TYPE,YEAR_x,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ABBREVIATION,HOME_TEAM_ID,AWAY_TEAM_ID,SIDE,TRAD_PTS,TRAD_FGM,TRAD_FGA,TRAD_FG_PCT,TRAD_3PM,TRAD_3PA,TRAD_3P_PCT,TRAD_FTM,TRAD_FTA,TRAD_FT_PCT,TRAD_OREB,TRAD_DREB,TRAD_REB,TRAD_AST,TRAD_TOV,TRAD_STL,TRAD_BLK,TRAD_PF,TRAD_PLUS_MINUS,TRAD_MIN,TRAD_win,ADV_OFFRTG,ADV_DEFRTG,ADV_NETRTG,ADV_AST_PCT,ADV_AST_TO,ADV_AST_RATIO,ADV_OREB_PCT,ADV_DREB_PCT,ADV_REB_PCT,ADV_TOV_PCT,ADV_EFG_PCT,ADV_TS_PCT,ADV_PACE,ADV_PIE,FF_EFG_PCT,FF_FTA_RATE,FF_TOV_PCT,FF_OREB_PCT,FF_OPP_EFG_PCT,FF_OPP_FTA_RATE,FF_OPP_TOV_PCT,FF_OPP_OREB_PCT,MISC_PTS_OFF_TO,MISC_2ND_PTS,MISC_FBPS,MISC_PITP,MISC_OPP_PTS_OFF_TO,MISC_OPP_2ND_PTS,MISC_OPP_FBPS,MISC_OPP_PITP,SCOR_PCTFGA_2PT,SCOR_PCTFGA_3PT,SCOR_PCTPTS_2PT,SCOR_PCTPTS_2PT_MR,SCOR_PCTPTS_3PT,SCOR_PCTPTS_FBPS,SCOR_PCTPTS_FT,SCOR_PCTPTS_OFF_TO,SCOR_PCTPTS_PITP,SCOR_2FGM__PCTAST,SCOR_2FGM__PCTUAST,SCOR_3FGM__PCTAST,SCOR_3FGM__PCTUAST,SCOR_FGM__PCTAST,SCOR_FGM__PCTUAST,JOIN_KEY,GAME_ID_M,HOME_PTS,AWAY_PTS,WINNER_TEAM_ID,WINNER_TEAM_ABBREVIATION,YEAR_y
29600070,1610612739,CLE,1996-11-10,Regular Season,1997,CLE,DEN,1610612739,1610612743,HOME,101.0,37.0,76.0,48.7,11.0,20.0,55.0,16.0,24.0,66.7,10.0,22.0,32.0,26.0,14.0,9.0,7.0,20.0,15.0,48.0,1.0,,,,,,,,,,,,,,,55.9,0.316,15.6,27.3,50.7,0.194,27.5,41.0,33.0,15,6,40,16.0,10.0,15,34,73.7,26.3,51.5,11.9,32.7,5.9,15.8,32.7,39.6,61.5,38.5,90.9,9.1,70.3,29.7,1996-11-10|CLE|DEN|Regular Season,29600070,108,79,1610612739,CLE,1996
29600070,1610612743,DEN,1996-11-10,Regular Season,1997,CLE,DEN,1610612739,1610612743,AWAY,86.0,33.0,72.0,45.8,7.0,15.0,46.7,13.0,14.0,92.9,13.0,30.0,43.0,28.0,25.0,5.0,4.0,26.0,-15.0,48.0,0.0,,,,,,,,,,,,,,,50.7,0.194,27.5,41.0,55.9,0.316,15.6,27.3,16.0,10,15,34,33.0,15.0,6,40,79.2,20.8,60.5,20.9,24.4,17.4,15.1,18.6,39.5,84.6,15.4,85.7,14.3,84.8,15.2,1996-11-10|CLE|DEN|Regular Season,29600070,108,79,1610612739,CLE,1996
29600332,1610612744,GSW,1996-12-17,Regular Season,1997,SEA,GSW,1610612760,1610612744,AWAY,81.0,27.0,72.0,37.5,6.0,16.0,37.5,21.0,26.0,80.8,9.0,28.0,37.0,17.0,26.0,4.0,7.0,27.0,-42.0,48.0,0.0,,,,,,,,,,,,,,,41.7,0.361,26.0,28.0,59.5,0.519,12.0,35.4,11.0,10,9,24,28.0,13.0,33,48,77.8,22.2,51.9,22.2,22.2,11.1,25.9,13.6,29.6,57.1,42.9,83.3,16.7,63.0,37.0,1996-12-17|OKC|GSW|Regular Season,29600332,123,83,1610612760,OKC,1996
29600370,1610612742,DAL,1996-12-22,Regular Season,1997,SEA,DAL,1610612760,1610612742,AWAY,76.0,27.0,68.0,39.7,9.0,19.0,47.4,13.0,18.0,72.2,7.0,24.0,31.0,17.0,17.0,8.0,4.0,31.0,-15.0,48.0,0.0,,,,,,,,,,,,,,,46.3,0.265,20.0,21.7,43.6,0.6,17.4,49.1,10.0,9,4,24,14.0,21.0,11,46,72.1,27.9,47.4,15.8,35.5,5.3,17.1,13.2,31.6,55.6,44.4,77.8,22.2,63.0,37.0,1996-12-22|OKC|DAL|Regular Season,29600370,93,79,1610612760,OKC,1996
29600370,1610612760,SEA,1996-12-22,Regular Season,1997,SEA,DAL,1610612760,1610612742,HOME,91.0,29.0,70.0,41.4,3.0,19.0,15.8,30.0,42.0,71.4,17.0,31.0,48.0,18.0,15.0,6.0,2.0,17.0,15.0,48.0,1.0,,,,,,,,,,,,,,,43.6,0.6,17.4,49.1,46.3,0.265,20.0,21.7,14.0,21,11,46,10.0,9.0,4,24,72.9,27.1,57.1,6.6,9.9,12.1,33.0,15.4,50.5,57.7,42.3,100.0,0.0,62.1,37.9,1996-12-22|OKC|DAL|Regular Season,29600370,93,79,1610612760,OKC,1996
20300778,1610612764,WAS,2004-02-18,Regular Season,2004,NOH,WAS,1610612740,1610612764,AWAY,101.0,40.0,89.0,44.9,7.0,15.0,46.7,14.0,18.0,77.8,15.0,25.0,40.0,21.0,15.0,6.0,2.0,16.0,-19.0,48.0,0.0,,,,,,,,,,,,,,,48.9,0.202,15.5,32.0,60.9,0.184,16.5,35.0,15.0,16,18,36,21.0,17.0,28,44,83.1,16.9,65.3,29.7,20.8,17.8,13.9,14.9,35.6,51.5,48.5,57.1,42.9,52.5,47.5,2004-02-18|NOP|WAS|Regular Season,20300778,120,98,1610612740,NOP,2003
