feature,gain,weight,cover
rating_diff,177.87564086914062,689.0,3201.91259765625
DIFF_TRAD_3PM_roll10_mean,162.07228088378906,10.0,2447.89501953125
DIFF_TRAD_3PA_roll3_mean,161.53175354003906,14.0,3358.005859375
DIFF_TRAD_FG_PCT_roll10_mean,158.22415161132812,68.0,2161.501953125
DIFF_TRAD_3PA_roll5_mean,110.0935287475586,6.0,2009.0655517578125
DIFF_TRAD_AST_roll3_std,101.03463745117188,13.0,1701.719970703125
DIFF_TRAD_AST_roll10_mean,98.75421142578125,9.0,2557.78466796875
DIFF_TRAD_FT_PCT_roll3_std,83.36141204833984,33.0,1820.044921875
DIFF_TRAD_STL_roll5_mean,74.96978759765625,23.0,1992.7841796875
DIFF_TRAD_FG_PCT_roll5_mean,72.73126983642578,26.0,1444.5841064453125
DIFF_TRAD_3PA_roll10_mean,69.20748901367188,7.0,3263.678466796875
YEAR,67.49472045898438,88.0,1556.4774169921875
DIFF_TRAD_DREB_roll10_mean,59.19096755981445,29.0,1809.0491943359375
DIFF_TRAD_FGM_roll3_std,58.29835510253906,8.0,1471.7547607421875
DIFF_TRAD_OREB_roll3_mean,50.90054702758789,6.0,1893.52392578125
DIFF_TRAD_3P_PCT_roll10_mean,48.92414093017578,25.0,2244.364501953125
DIFF_TRAD_FTM_roll5_std,42.39496994018555,20.0,3039.520263671875
DIFF_TRAD_3P_PCT_roll3_mean,42.330543518066406,44.0,2269.659912109375
DIFF_TRAD_DREB_roll3_std,40.33832931518555,6.0,460.0998229980469
DIFF_TRAD_OREB_roll5_mean,39.97595977783203,16.0,821.0000610351562
DIFF_TRAD_STL_roll3_mean,38.35576629638672,10.0,2711.6044921875
DIFF_TRAD_FTA_roll3_std,36.70016098022461,24.0,1858.93017578125
DIFF_ADV_DEFRTG_roll10_mean,36.6502571105957,159.0,2631.0390625
DIFF_TRAD_PF_roll3_mean,35.245174407958984,6.0,1486.20947265625
DIFF_TRAD_PF_roll10_std,34.169925689697266,20.0,2540.7451171875
DIFF_ADV_OFFRTG_roll10_mean,32.591739654541016,149.0,2640.0185546875
DIFF_MISC_OPP_PITP_roll10_mean,32.51618194580078,17.0,1726.1416015625
DIFF_TRAD_TOV_roll3_mean,32.22065353393555,16.0,1436.368408203125
DIFF_TRAD_TOV_roll5_std,32.012630462646484,15.0,1236.6541748046875
DIFF_TRAD_FT_PCT_roll5_std,31.914352416992188,20.0,1872.4156494140625
DIFF_ADV_OFFRTG_roll5_mean,31.841890335083008,7.0,1481.7144775390625
DIFF_TRAD_PF_roll10_mean,31.418582916259766,53.0,2581.282470703125
DIFF_TRAD_FGA_roll5_std,30.846038818359375,7.0,1608.7991943359375
