feature,gain,weight,cover
rating_diff,113.24694061279297,971.0,2802.5341796875
DIFF_TRAD_FG_PCT_roll10_mean,61.62413024902344,127.0,1470.5804443359375
YEAR,53.11698913574219,206.0,1738.8624267578125
DIFF_TRAD_3PA_roll3_mean,35.452457427978516,42.0,1611.4036865234375
DIFF_TRAD_TOV_roll3_mean,34.94204330444336,47.0,1514.5037841796875
DIFF_TRAD_3P_PCT_roll3_mean,26.24076271057129,136.0,1680.5245361328125
DIFF_TRAD_PF_roll10_mean,24.779512405395508,133.0,1765.8682861328125
DIFF_TRAD_OREB_roll3_mean,24.47184181213379,46.0,1286.68212890625
DIFF_ADV_DEFRTG_roll10_mean,21.76875877380371,267.0,2262.471923828125
DIFF_TRAD_DREB_roll10_mean,21.752737045288086,96.0,1590.6129150390625
DIFF_TRAD_FG_PCT_roll3_mean,21.356760025024414,54.0,803.7830810546875
DIFF_TRAD_3PA_roll10_mean,21.272502899169922,43.0,2032.3829345703125
DIFF_ADV_OFFRTG_roll10_mean,20.70933723449707,231.0,2370.732666015625
DIFF_TRAD_TOV_roll10_mean,16.228275299072266,84.0,1783.8973388671875
DIFF_TRAD_FGM_roll10_mean,15.585885047912598,89.0,1735.5501708984375
DIFF_TRAD_REB_roll3_mean,14.866002082824707,54.0,1490.319580078125
DIFF_TRAD_PF_roll3_mean,14.36269760131836,81.0,1702.6624755859375
DIFF_TRAD_3P_PCT_roll10_mean,14.10739803314209,145.0,1703.275634765625
is_playoffs,12.506268501281738,46.0,1398.7406005859375
DIFF_TRAD_DREB_roll3_mean,12.423949241638184,77.0,1640.8704833984375
DIFF_TRAD_FTM_roll10_mean,11.980295181274414,51.0,1754.6768798828125
DIFF_TRAD_FT_PCT_roll3_mean,11.957260131835938,125.0,1451.7362060546875
DIFF_TRAD_FTA_roll3_mean,11.35158634185791,61.0,1351.775146484375
DIFF_ADV_TS_PCT_roll10_mean,11.004608154296875,104.0,1898.025634765625
DIFF_TRAD_OREB_roll10_mean,10.792804718017578,59.0,1352.937744140625
DIFF_TRAD_3PM_roll10_mean,10.534351348876953,44.0,1186.4754638671875
DIFF_TRAD_FGA_roll10_mean,10.269652366638184,90.0,1896.259033203125
DIFF_rest_days_roll10_mean,9.748888969421387,205.0,2067.592041015625
DIFF_FF_OPP_EFG_PCT_roll10_mean,9.58963394165039,154.0,2231.012451171875
DIFF_TRAD_FTM_roll3_mean,9.478072166442871,57.0,1451.6236572265625
DIFF_TRAD_REB_roll10_mean,9.476353645324707,92.0,1847.7850341796875
DIFF_TRAD_FT_PCT_roll10_mean,9.387003898620605,103.0,855.0125122070312
DIFF_TRAD_FGM_roll3_mean,9.049402236938477,63.0,1387.4959716796875
DIFF_rest_days_roll5_mean,9.006425857543945,80.0,2271.93994140625
DIFF_TRAD_STL_roll3_mean,8.695652961730957,73.0,1515.8985595703125
DIFF_MISC_OPP_PTS_OFF_TO_roll10_mean,8.695272445678711,60.0,1631.410888671875
DIFF_FF_EFG_PCT_roll10_mean,8.677308082580566,35.0,2249.141357421875
DIFF_ADV_DEFRTG_roll3_mean,8.442571640014648,72.0,1744.8458251953125
DIFF_TRAD_FTA_roll10_mean,8.37679386138916,82.0,2147.282958984375
DIFF_SCOR_PCTPTS_FT_roll3_mean,8.172320365905762,48.0,1102.883544921875
DIFF_TRAD_STL_roll10_mean,8.045953750610352,99.0,2003.8209228515625
DIFF_MISC_FBPS_roll3_mean,7.812459468841553,55.0,1630.572998046875
DIFF_SCOR_PCTPTS_2PT_roll10_mean,7.806363105773926,41.0,990.653564453125
DIFF_TRAD_AST_roll10_mean,7.779831886291504,51.0,1893.83544921875
DIFF_ADV_AST_TO_roll10_mean,7.770703315734863,63.0,1175.3468017578125
DIFF_SCOR_PCTPTS_PITP_roll3_mean,7.7359185218811035,84.0,1811.3223876953125
DIFF_SCOR_2FGM__PCTAST_roll3_mean,7.677963733673096,49.0,1197.020263671875
DIFF_ADV_PACE_roll10_mean,7.6621012687683105,97.0,1880.286865234375
DIFF_TRAD_BLK_roll3_mean,7.626952648162842,44.0,1110.3304443359375
DIFF_ADV_OREB_PCT_roll10_mean,7.51479959487915,47.0,1063.15380859375
DIFF_ADV_TOV_PCT_roll10_mean,7.484160900115967,44.0,1324.578857421875
DIFF_MISC_OPP_FBPS_roll3_mean,7.469446659088135,84.0,1319.0413818359375
DIFF_SCOR_PCTPTS_OFF_TO_roll3_mean,7.464724063873291,75.0,1274.184326171875
DIFF_SCOR_2FGM__PCTUAST_roll10_mean,7.436994552612305,24.0,877.452880859375
DIFF_FF_OPP_OREB_PCT_roll10_mean,7.432835578918457,29.0,1100.717041015625
DIFF_TRAD_AST_roll3_mean,7.428668022155762,33.0,1407.2235107421875
DIFF_MISC_OPP_PITP_roll10_mean,7.411579608917236,63.0,1133.7425537109375
DIFF_TRAD_FGA_roll3_mean,7.409856796264648,55.0,1536.02685546875
DIFF_ADV_REB_PCT_roll10_mean,7.385725498199463,84.0,1572.310302734375
DIFF_rest_days_roll3_mean,7.38458776473999,70.0,2255.2822265625
DIFF_SCOR_FGM__PCTUAST_roll10_mean,7.378981113433838,29.0,1822.1044921875
DIFF_SCOR_PCTPTS_FBPS_roll3_mean,7.355863094329834,70.0,1327.0517578125
DIFF_FF_OPP_EFG_PCT_roll3_mean,7.352928638458252,58.0,1378.7520751953125
