feature,gain,weight,cover
rating_diff,28633.234375,718.0,14997.21484375
DIFF_ADV_OFFRTG_roll10_mean,5285.86376953125,165.0,11789.060546875
DIFF_ADV_DEFRTG_roll10_mean,3721.150390625,199.0,10068.9599609375
DIFF_FF_EFG_PCT_roll5_mean,2297.93505859375,5.0,2880.199951171875
DIFF_ADV_TS_PCT_roll10_mean,2249.59375,77.0,5842.40283203125
DIFF_ADV_OFFRTG_roll5_mean,2231.2392578125,38.0,4303.18408203125
DIFF_MISC_OPP_PITP_roll10_mean,2154.863037109375,61.0,8427.3447265625
DIFF_SCOR_PCTFGA_3PT_roll10_mean,2077.208251953125,3.0,2467.333251953125
is_playoffs,2062.569580078125,48.0,8408.0205078125
DIFF_FF_OPP_EFG_PCT_roll10_mean,2035.031494140625,118.0,13240.220703125
DIFF_FF_EFG_PCT_roll10_mean,1898.7642822265625,13.0,6700.384765625
DIFF_SCOR_2FGM__PCTUAST_roll10_mean,1832.484375,6.0,3462.166748046875
DIFF_rest_days_roll10_mean,1824.613037109375,149.0,11449.5634765625
DIFF_ADV_EFG_PCT_roll5_mean,1822.1524658203125,16.0,1719.9375
DIFF_FF_OPP_FTA_RATE_roll10_std,1762.653564453125,30.0,4559.13330078125
DIFF_ADV_DEFRTG_roll3_mean,1744.9886474609375,38.0,4027.421142578125
DIFF_TRAD_3PA_roll5_mean,1740.71826171875,15.0,2640.333251953125
DIFF_SCOR_PCTFGA_2PT_roll5_mean,1721.2734375,16.0,6062.75
DIFF_SCOR_FGM__PCTAST_roll10_std,1709.53515625,12.0,3474.333251953125
DIFF_FF_TOV_PCT_roll5_std,1708.8115234375,8.0,2779.125
DIFF_ADV_DEFRTG_roll3_std,1702.3499755859375,39.0,9006.205078125
DIFF_FF_EFG_PCT_roll3_mean,1699.2744140625,10.0,1992.9000244140625
DIFF_ADV_EFG_PCT_roll10_mean,1678.2432861328125,31.0,6158.35498046875
DIFF_ADV_AST_TO_roll10_mean,1670.750732421875,25.0,2957.1201171875
DIFF_TRAD_FG_PCT_roll10_mean,1665.3262939453125,59.0,8824.0341796875
DIFF_MISC_PTS_OFF_TO_roll5_mean,1655.9796142578125,39.0,6291.87158203125
DIFF_ADV_DEFRTG_roll5_mean,1641.8695068359375,64.0,9601.296875
DIFF_FF_OPP_FTA_RATE_roll10_mean,1635.656982421875,57.0,11542.771484375
DIFF_FF_OPP_EFG_PCT_roll5_mean,1634.0606689453125,30.0,6920.10009765625
DIFF_TRAD_3PM_roll10_mean,1629.8021240234375,17.0,3681.588134765625
DIFF_ADV_AST_PCT_roll10_mean,1625.529052734375,8.0,1545.625
DIFF_FF_OPP_TOV_PCT_roll5_mean,1619.9066162109375,24.0,4034.0
DIFF_TRAD_3P_PCT_roll5_mean,1611.92724609375,22.0,3471.4091796875
DIFF_SCOR_FGM__PCTUAST_roll10_std,1606.504638671875,7.0,2736.142822265625
DIFF_TRAD_3PA_roll10_mean,1605.78125,13.0,6986.84619140625
DIFF_ADV_REB_PCT_roll10_mean,1603.8768310546875,25.0,4266.919921875
DIFF_SCOR_2FGM__PCTUAST_roll3_std,1598.701904296875,7.0,5640.85693359375
DIFF_FF_OPP_OREB_PCT_roll3_mean,1592.3963623046875,9.0,1788.111083984375
DIFF_SCOR_FGM__PCTAST_roll5_mean,1583.451416015625,9.0,1596.888916015625
DIFF_MISC_FBPS_roll3_std,1583.0081787109375,48.0,9866.5
DIFF_ADV_AST_RATIO_roll10_std,1582.2757568359375,36.0,4573.52783203125
DIFF_MISC_PTS_OFF_TO_roll10_mean,1580.991943359375,21.0,8630.619140625
DIFF_TRAD_OREB_roll3_std,1579.549072265625,21.0,2225.0
DIFF_ADV_OFFRTG_roll3_mean,1577.722900390625,34.0,2621.088134765625
DIFF_MISC_OPP_FBPS_roll10_mean,1575.5357666015625,35.0,5640.82861328125
DIFF_SCOR_2FGM__PCTUAST_roll5_mean,1575.4647216796875,13.0,5797.6923828125
DIFF_ADV_PACE_roll3_mean,1564.3109130859375,36.0,4777.1943359375
DIFF_TRAD_3P_PCT_roll10_mean,1557.0855712890625,49.0,10062.2451171875
DIFF_ADV_AST_PCT_roll10_std,1550.0841064453125,17.0,1350.941162109375
DIFF_TRAD_PF_roll5_mean,1544.941162109375,20.0,5443.7001953125
DIFF_TRAD_FG_PCT_roll5_std,1540.0150146484375,30.0,3571.033447265625
DIFF_SCOR_FGM__PCTAST_roll10_mean,1538.08349609375,9.0,2424.0
DIFF_TRAD_AST_roll10_mean,1533.7662353515625,13.0,3029.15380859375
DIFF_SCOR_PCTFGA_2PT_roll3_mean,1531.2027587890625,18.0,2328.111083984375
DIFF_FF_OPP_OREB_PCT_roll10_mean,1530.0452880859375,21.0,2290.952392578125
DIFF_SCOR_PCTPTS_OFF_TO_roll3_mean,1527.916015625,17.0,2971.470703125
DIFF_FF_OREB_PCT_roll10_mean,1524.4959716796875,28.0,4438.4287109375
DIFF_SCOR_2FGM__PCTAST_roll10_mean,1520.4735107421875,21.0,2769.761962890625
DIFF_TRAD_FG_PCT_roll10_std,1516.5880126953125,15.0,2189.933349609375
DIFF_TRAD_TOV_roll10_std,1516.0909423828125,18.0,2220.77783203125
DIFF_MISC_OPP_2ND_PTS_roll10_mean,1513.93359375,48.0,6363.77099609375
DIFF_TRAD_BLK_roll10_std,1511.0047607421875,39.0,4767.94873046875
YEAR,1510.1207275390625,61.0,7188.2294921875
DIFF_FF_FTA_RATE_roll5_std,1502.7271728515625,28.0,6638.64306640625
DIFF_ADV_AST_RATIO_roll5_std,1502.6109619140625,12.0,512.0
DIFF_ADV_TS_PCT_roll3_mean,1499.8402099609375,24.0,3522.708251953125
DIFF_TRAD_DREB_roll10_mean,1497.379638671875,14.0,2073.357177734375
DIFF_SCOR_PCTPTS_2PT_roll10_mean,1496.486083984375,26.0,3569.0
DIFF_TRAD_TOV_roll5_std,1496.18603515625,36.0,4165.58349609375
DIFF_SCOR_PCTPTS_2PT_MR_roll10_std,1493.4561767578125,30.0,9219.466796875
DIFF_TRAD_3P_PCT_roll3_std,1493.3570556640625,36.0,2682.4443359375
DIFF_TRAD_3P_PCT_roll3_mean,1493.22998046875,44.0,7383.70458984375
DIFF_SCOR_PCTFGA_2PT_roll10_mean,1493.2032470703125,16.0,3223.0625
DIFF_TRAD_AST_roll5_mean,1487.306640625,20.0,6312.85009765625
DIFF_FF_OPP_TOV_PCT_roll3_mean,1487.2021484375,37.0,2660.513427734375
DIFF_TRAD_DREB_roll3_mean,1485.4271240234375,16.0,4907.25
DIFF_SCOR_PCTPTS_2PT_MR_roll3_mean,1484.80078125,36.0,5289.638671875
DIFF_SCOR_3FGM__PCTAST_roll5_mean,1484.1375732421875,11.0,1245.8182373046875
DIFF_ADV_OFFRTG_roll10_std,1483.2332763671875,35.0,3071.199951171875
DIFF_MISC_OPP_PTS_OFF_TO_roll10_mean,1478.984130859375,38.0,11894.6318359375
DIFF_SCOR_2FGM__PCTAST_roll10_std,1477.97509765625,31.0,4852.2255859375
DIFF_ADV_TS_PCT_roll3_std,1476.908203125,30.0,5421.533203125
DIFF_SCOR_PCTPTS_PITP_roll10_mean,1476.5494384765625,23.0,952.7825927734375
DIFF_SCOR_PCTPTS_2PT_roll5_mean,1474.12158203125,18.0,1493.388916015625
DIFF_SCOR_PCTPTS_OFF_TO_roll10_std,1473.4215087890625,38.0,3049.815673828125
DIFF_FF_EFG_PCT_roll10_std,1472.475341796875,10.0,2262.300048828125
DIFF_ADV_EFG_PCT_roll3_mean,1471.7772216796875,14.0,3822.28564453125
DIFF_TRAD_PF_roll10_mean,1470.6378173828125,27.0,12948.77734375
DIFF_SCOR_PCTPTS_2PT_roll10_std,1469.6239013671875,27.0,5624.4814453125
DIFF_ADV_TOV_PCT_roll10_mean,1463.4881591796875,18.0,2395.0
DIFF_TRAD_3PA_roll3_std,1462.929443359375,40.0,1735.8499755859375
DIFF_TRAD_FGM_roll3_mean,1462.768310546875,20.0,5848.5498046875
DIFF_SCOR_PCTPTS_PITP_roll5_std,1461.5557861328125,36.0,3763.583251953125
