SEASON,TRAD_PTS,TRAD_FGM,TRAD_FGA,TRAD_FG_PCT,TRAD_3PM,TRAD_3PA,TRAD_3P_PCT,TRAD_FTM,TRAD_FTA,TRAD_FT_PCT,TRAD_OREB,TRAD_DREB,TRAD_REB,TRAD_AST,TRAD_TOV,TRAD_STL,TRAD_BLK,TRAD_PF,ADV_OFFRTG,ADV_DEFRTG,ADV_NETRTG,ADV_AST_PCT,ADV_AST_TO,ADV_AST_RATIO,ADV_DREB_PCT,ADV_REB_PCT,ADV_TS_PCT,ADV_PACE,ADV_PIE,FF_EFG_PCT,FF_FTA_RATE,FF_TOV_PCT,FF_OREB_PCT,FF_OPP_EFG_PCT,FF_OPP_FTA_RATE,FF_OPP_TOV_PCT,FF_OPP_OREB_PCT,MISC_PTS_OFF_TO,MISC_2ND_PTS,MISC_FBPS,MISC_PITP,MISC_OPP_PTS_OFF_TO,MISC_OPP_2ND_PTS,MISC_OPP_FBPS,MISC_OPP_PITP,SCOR_PCTFGA_2PT,SCOR_PCTFGA_3PT,SCOR_PCTPTS_2PT,SCOR_PCTPTS_2PT_MR,SCOR_PCTPTS_3PT,SCOR_PCTPTS_FBPS,SCOR_PCTPTS_FT,SCOR_PCTPTS_OFF_TO,SCOR_PCTPTS_PITP,SCOR_2FGM__PCTAST,SCOR_2FGM__PCTUAST,SCOR_3FGM__PCTAST,SCOR_3FGM__PCTUAST,SCOR_FGM__PCTAST,SCOR_FGM__PCTUAST
1996/97,96.73750991276765,35.92347343378271,79.11934972244251,45.516653449643144,6.08406026962728,16.935368754956382,35.73727200634417,18.803727200634416,25.429024583663757,73.77513877874702,12.618160190325138,28.426645519429023,41.044805709754165,21.925059476605867,15.577319587628866,8.159000793021411,4.89095955590801,22.181601903251387,105.04274385408405,105.06157811260904,-0.01883425852498018,58.7649111816019,1.5303608247422682,16.91923076923077,64.8465277557494,48.482705789056304,52.04728747026169,91.40026962727994,48.60749603489294,49.3883425852498,0.3274916732751784,16.898691514670897,33.14500396510706,49.3906026962728,0.3274932593180016,16.89964314036479,33.149603489294215,17.396114195083268,14.150277557494052,12.619746233148295,40.45202220459952,17.39928628072958,14.153449643140364,12.620935765265662,40.45757335448057,78.49916732751784,21.50325138778747,61.79127676447264,20.037866772402854,18.77541633624108,12.955194290245837,19.436875495638382,18.052022204599524,41.75229976209358,56.79865186360032,43.20289452815226,79.92672482157019,19.597581284694687,60.901506740682,39.09992069785884
1997/98,95.32698412698413,35.76190476190476,79.39920634920635,45.18611111111111,4.417857142857143,12.784126984126985,33.992420634920634,19.38531746031746,26.33015873015873,73.6804365079365,12.954761904761904,28.465079365079365,41.41984126984127,21.930555555555557,15.398412698412699,8.334523809523809,5.049603174603175,22.51309523809524,103.40630952380953,103.40630952380953,0.0,59.061992460317455,1.5512301587301587,16.83888888888889,64.30156746031747,48.39581626984127,50.82020873015873,91.5340873015873,48.54309087301588,47.9827380952381,0.3379507936507936,16.67063492063492,33.57833333333333,47.9827380952381,0.3379507936507936,16.67063492063492,33.57833333333333,17.009920634920636,14.527380952380952,13.512698412698413,40.060317460317464,17.009920634920636,14.527380952380952,13.512698412698413,40.060317460317464,83.84904761904762,16.153333333333332,65.93988095238095,23.991507936507936,13.725714285714288,14.065238095238096,20.33797619047619,17.899444444444445,41.95230158730159,57.90611111111111,42.095793650793645,81.194126984127,15.631269841269843,61.1606746031746,38.84059523809524
1998/99,91.25031605562579,33.97092288242731,77.89759797724399,43.74304677623262,4.451959544879899,13.205436156763591,33.16991150442478,18.856510745891278,25.848925410872315,73.0078381795196,12.484829329962073,29.037926675094816,41.52275600505689,20.553097345132745,15.257269279393173,8.306573957016434,4.9348925410872315,22.38748419721871,100.39551201011379,100.39551201011379,0.0,58.587770543615676,1.461441213653603,16.182174462705436,65.73006826801516,48.460142857142856,49.7115429835651,90.25317319848293,48.6591213653603,46.62585335018964,0.33910493046776236,16.760682680151707,32.23520859671302,46.62585335018964,0.33910493046776236,16.760682680151707,32.23520859671302,16.414664981036662,13.398230088495575,12.221871049304678,37.11251580278129,16.414664981036662,13.398230088495575,12.221871049304678,37.11251580278129,82.98331226295828,17.018394437420984,64.82534766118837,24.251137800252845,14.455436156763591,13.289570164348925,20.720922882427306,18.07718078381795,40.580278128950695,56.7680783817952,43.233565107458915,82.18742098609356,15.094500632111252,60.418394437420986,39.58375474083439
1999/00,97.13805379746836,36.642405063291136,81.7998417721519,44.898931962025316,4.860759493670886,13.772943037974683,35.03065664556962,18.99248417721519,25.34493670886076,75.10696202531645,12.339003164556962,30.477056962025316,42.81606012658228,22.17998417721519,15.323180379746836,7.86748417721519,5.1511075949367084,23.355221518987342,102.41439873417721,102.41439873417721,0.0,58.582887262658225,1.5828085443037976,16.75799050632911,66.6601309335443,48.390321598101266,50.68316851265823,94.31731803797469,48.53943829113924,47.87895569620253,0.315779667721519,16.11048259493671,31.152254746835442,47.87895569620253,0.315779667721519,16.11048259493671,31.152254746835442,16.576740506329113,13.838212025316455,13.766613924050633,39.00632911392405,16.576740506329113,13.838212025316455,13.766613924050633,39.00632911392405,83.14367088607595,16.85945411392405,65.55300632911393,25.402412974683546,14.882120253164556,14.03943829113924,19.567523734177215,17.081131329113923,40.15356012658228,56.62725474683545,43.37527689873418,83.71020569620254,14.470174050632911,60.47199367088608,39.52954905063291
2000/01,94.74285714285715,35.614285714285714,80.57857142857142,44.33440476190476,4.871031746031746,13.77063492063492,34.87166666666667,18.64325396825397,24.921825396825398,74.90678571428572,12.028571428571428,30.478571428571428,42.50714285714286,21.688095238095237,14.9515873015873,7.79047619047619,5.273809523809524,22.365079365079364,101.65702380952382,101.65702380952382,0.0,60.80142857142857,1.5866468253968253,16.69123015873016,69.00480158730159,50.00035714285714,51.883849206349204,92.4831507936508,50.00011904761905,47.37817460317461,0.3143968253968254,16.01797619047619,30.996269841269843,47.37817460317461,0.3143968253968254,16.01797619047619,30.996269841269843,16.202380952380953,13.370238095238095,12.834523809523809,37.647619047619045,16.202380952380953,13.370238095238095,12.834523809523809,37.647619047619045,82.85460317460317,17.14781746031746,65.08813492063493,25.324246031746032,15.253412698412697,13.445714285714285,19.663015873015873,17.16611111111111,39.76781746031746,56.86940476190476,43.1325,83.80484126984128,14.528492063492065,60.80142857142857,39.200515873015874
2001/02,95.4063492063492,36.07063492063492,81.19365079365079,44.53861111111111,5.236111111111111,14.85515873015873,35.06698412698413,18.028968253968255,23.984126984126984,75.17126984126985,12.212698412698412,30.22579365079365,42.43849206349206,21.795238095238094,14.438492063492063,7.775396825396825,5.22579365079365,21.376984126984127,103.05730158730158,103.05730158730158,0.0,60.351904761904756,1.6562380952380953,16.82626984126984,68.57619047619048,50.00047619047619,52.103095238095236,91.94953174603175,50.00031746031746,47.77404761904762,0.30019285714285715,15.587142857142856,31.425158730158728,47.77404761904762,0.30019285714285715,15.587142857142856,31.425158730158728,15.744444444444444,13.851587301587301,12.731349206349206,38.23253968253968,15.744444444444444,13.851587301587301,12.731349206349206,38.23253968253968,81.70083333333334,18.30218253968254,64.85646825396825,24.759603174603175,16.264920634920635,13.289642857142857,18.881944444444443,16.563492063492063,40.101190476190474,55.97210317460318,44.029920634920636,84.1595238095238,14.411904761904761,60.351904761904756,39.650198412698415
2002/03,95.14565387627252,35.646436961628815,80.70242756460455,0.4426413469068129,5.1949882537196554,14.846515270164447,0.34438801879404857,18.657791699295224,24.613547376664055,0.7584259984338293,12.03484729835552,30.282302270947532,42.317149569303055,21.413860610806577,14.234142521534848,7.895849647611589,5.01018010963195,21.93030540328896,102.23817541111981,102.23817541111981,0.0,59.9698512137823,1.5738332028191073,16.526742364917776,68.83915426781519,50.00058731401723,52.064800313234144,92.27315583398591,50.000313234142524,47.4850430696946,0.3101374314800313,15.980305403288957,31.161785434612373,47.4850430696946,0.3101374314800313,15.980305403288957,31.161785434612373,16.258418167580267,13.652701644479249,12.332419733750978,38.04306969459671,16.258418167580267,13.652701644479249,12.332419733750978,38.04306969459671,81.60313234142521,18.399882537196557,64.21523101018012,24.196280344557557,16.16170712607674,12.915505090054815,19.626664056382147,17.155442443226313,40.02094753328113,55.55113547376664,44.45082223962412,83.25653876272514,14.355090054815976,59.9698512137823,40.03167580266249
2003/04,93.05035405192761,34.840283241542096,79.63021243115656,43.82726199842644,5.174272226593233,14.971282454760031,34.169944925255706,18.19669551534225,24.271439811172304,75.04901652242329,12.049567269866246,30.16876475216365,42.2183320220299,21.194335169158144,14.972069236821401,7.924468922108576,5.052714398111723,21.564909520062944,101.13166797797011,101.13166797797011,0.0,60.711290322580645,1.5504956726986625,16.518764752163648,68.66365066876475,50.00051140833989,51.59830841856805,91.32084972462629,50.00031471282455,47.081038552321004,0.3094622344610543,16.276278520849726,31.3375295043273,47.081038552321004,0.3094622344610543,16.276278520849726,31.3375295043273,16.079464988198268,13.352084972462627,12.043666404405979,37.70259638080252,16.079464988198268,13.352084972462627,12.043666404405979,37.70259638080252,81.2,18.802675059008656,63.92230527143981,23.418922108575924,16.495751376868608,12.85912667191188,19.58575924468922,17.32537372147915,40.50621557828482,56.27258064516129,43.72911093627065,84.28662470495674,14.53324154209284,60.711290322580645,39.290440597954365
2004/05,97.191400304414,35.917808219178085,80.2568493150685,44.861491628614914,5.634703196347032,15.844368340943683,35.1574200913242,19.72108066971081,26.104642313546425,75.52408675799086,11.99923896499239,29.8234398782344,41.82267884322679,21.119482496194824,14.449391171993911,7.470700152207002,4.904109589041096,22.683409436834093,104.64600456621005,104.64600456621005,0.0,58.784094368340945,1.5979756468797564,16.370091324200914,68.37614155251141,50.00034246575342,53.07210806697108,92.15884322678843,50.00015220700152,48.37743531202435,0.33089383561643837,15.548059360730594,31.625190258751903,48.37743531202435,0.33089383561643837,15.548059360730594,31.625190258751903,16.087138508371385,13.705479452054794,12.234779299847792,38.41019786910198,16.087138508371385,13.705479452054794,12.234779299847792,38.41019786910198,80.26742770167428,19.734779299847794,62.57031963470319,22.992161339421614,17.12941400304414,12.511415525114156,20.304071537290714,16.62808219178082,39.580821917808215,53.72355403348554,46.278462709284625,84.39277016742771,14.465829528158293,58.784094368340945,41.21697108066971
2005/06,97.06141015921152,35.8180439727066,78.87983320697498,45.522479150871874,5.745640636846096,16.065579984836997,35.383017437452615,19.679681576952238,26.37338893100834,74.53669446550417,11.12016679302502,29.778241091736163,40.898407884761184,20.46664139499621,14.360121304018195,7.112964366944655,4.669446550416983,22.841167551175133,104.98066717210007,104.98066717210007,0.0,57.05500379075057,1.556554207733131,16.096550416982563,69.71626231993935,50.00060652009098,53.734723275208495,91.61990902198636,50.00034116755117,49.1672100075815,0.3404992418498863,15.517172100075816,30.284912812736923,49.1672100075815,0.3404992418498863,15.517172100075816,30.285178165276726,15.890068233510235,13.028809704321455,11.747915087187263,38.64746019711903,15.890068233510235,13.028809704321455,11.747915087187263,38.64746019711903,79.6600833965125,20.342532221379834,62.192228961334344,22.280174374526155,17.533017437452614,12.055344958301744,20.27653525398029,16.422365428354812,39.91599696739954,51.75015163002274,48.25163002274451,84.19708112206217,14.438324488248675,57.05500379075057,42.946664139499624
