feature,gain,weight,cover
DIFF_TRAD_FG_PCT_roll10_mean,178.40867614746094,65.0,2302.018798828125
rating_diff,176.12120056152344,702.0,3149.989013671875
DIFF_TRAD_3PA_roll5_mean,174.01828002929688,5.0,3286.76025390625
DIFF_TRAD_3PA_roll3_mean,171.0445098876953,10.0,3903.197265625
DIFF_TRAD_3PM_roll5_mean,131.46270751953125,5.0,2206.989013671875
DIFF_TRAD_3PM_roll10_mean,114.84808349609375,5.0,2702.7470703125
DIFF_TRAD_REB_roll10_mean,111.96614837646484,3.0,2729.478515625
DIFF_TRAD_FG_PCT_roll5_mean,104.73796844482422,31.0,1840.4302978515625
DIFF_TRAD_FT_PCT_roll3_std,80.15241241455078,30.0,1359.342529296875
YEAR,67.29652404785156,99.0,1471.5098876953125
DIFF_TRAD_3PA_roll10_mean,61.023895263671875,10.0,3518.11328125
DIFF_TRAD_STL_roll5_mean,58.44809341430664,15.0,1462.2396240234375
DIFF_TRAD_DREB_roll5_mean,55.61444091796875,6.0,1462.6763916015625
DIFF_TRAD_DREB_roll10_mean,51.27137756347656,27.0,1609.0084228515625
DIFF_TRAD_3PA_roll5_std,50.48396682739258,29.0,2102.83349609375
DIFF_TRAD_AST_roll10_mean,45.868003845214844,10.0,1324.1488037109375
DIFF_TRAD_3P_PCT_roll3_mean,43.1898307800293,41.0,2512.530029296875
DIFF_TRAD_FTA_roll3_std,42.897159576416016,23.0,1857.8616943359375
DIFF_TRAD_OREB_roll5_mean,41.68537139892578,15.0,707.2683715820312
DIFF_TRAD_TOV_roll3_mean,41.35884094238281,17.0,1783.887939453125
DIFF_TRAD_FTM_roll5_std,38.90285873413086,19.0,3031.946044921875
DIFF_TRAD_TOV_roll5_std,38.15834045410156,23.0,1230.797607421875
DIFF_TRAD_3P_PCT_roll10_mean,37.39625549316406,19.0,2088.83837890625
DIFF_TRAD_PF_roll10_mean,35.62237548828125,43.0,2816.1376953125
DIFF_ADV_DEFRTG_roll10_mean,33.42512893676758,160.0,2552.5087890625
DIFF_TRAD_FG_PCT_roll5_std,32.257362365722656,14.0,917.8005981445312
DIFF_TRAD_FT_PCT_roll5_std,31.80612564086914,25.0,2283.8974609375
DIFF_MISC_OPP_PITP_roll10_mean,28.73319435119629,18.0,2051.58056640625
DIFF_TRAD_FGA_roll3_std,28.485240936279297,13.0,1705.5711669921875
DIFF_TRAD_FGM_roll3_std,28.441162109375,6.0,761.5253295898438
DIFF_FF_OPP_EFG_PCT_roll10_mean,28.254653930664062,77.0,2231.25830078125
