feature,gain,weight,cover
rating_diff,132.6240692138672,843.0,2837.2001953125
DIFF_TRAD_FT_PCT_roll3_std,77.07288360595703,50.0,1569.421875
DIFF_TRAD_FG_PCT_roll10_mean,76.82383728027344,74.0,1847.1376953125
DIFF_TRAD_3PA_roll3_mean,60.63809585571289,9.0,1387.5865478515625
YEAR,59.90085983276367,112.0,1705.1015625
DIFF_TRAD_FG_PCT_roll3_mean,58.7904167175293,15.0,824.1948852539062
DIFF_TRAD_FT_PCT_roll5_mean,54.366886138916016,18.0,1004.8871459960938
DIFF_TRAD_TOV_roll3_mean,50.61699676513672,21.0,1491.80126953125
DIFF_TRAD_FG_PCT_roll5_mean,49.83881759643555,28.0,1433.8048095703125
DIFF_TRAD_FGM_roll10_mean,43.6364631652832,43.0,2052.103271484375
DIFF_TRAD_PF_roll10_mean,37.91459655761719,64.0,2359.641845703125
DIFF_TRAD_FTA_roll3_std,37.54404830932617,57.0,1425.0455322265625
DIFF_TRAD_DREB_roll10_std,36.83101272583008,16.0,1342.389404296875
DIFF_TRAD_STL_roll5_mean,35.16157150268555,25.0,1316.325927734375
DIFF_TRAD_3PA_roll5_std,31.848005294799805,72.0,1647.4737548828125
DIFF_TRAD_OREB_roll5_mean,30.022035598754883,13.0,1188.408935546875
DIFF_TRAD_3P_PCT_roll3_mean,27.36890983581543,55.0,2044.8812255859375
DIFF_TRAD_DREB_roll10_mean,26.066253662109375,43.0,1653.8704833984375
DIFF_TRAD_TOV_roll10_mean,25.445158004760742,33.0,2297.183837890625
DIFF_TRAD_FTM_roll5_std,24.316444396972656,39.0,2102.21044921875
DIFF_TRAD_3P_PCT_roll10_mean,22.80187225341797,51.0,1773.3521728515625
DIFF_ADV_DEFRTG_roll10_mean,22.011552810668945,188.0,2498.530029296875
DIFF_ADV_OFFRTG_roll10_mean,21.601543426513672,160.0,2535.05029296875
DIFF_TRAD_FT_PCT_roll5_std,20.31758689880371,42.0,1437.5220947265625
DIFF_TRAD_OREB_roll3_mean,17.689001083374023,17.0,2285.160888671875
DIFF_TRAD_TOV_roll5_std,16.986434936523438,36.0,1002.8660888671875
DIFF_TRAD_FG_PCT_roll5_std,16.105674743652344,30.0,1327.5426025390625
DIFF_TRAD_3P_PCT_roll5_mean,15.984075546264648,25.0,892.8778076171875
DIFF_TRAD_PF_roll3_mean,15.530313491821289,16.0,1599.3525390625
DIFF_TRAD_FGA_roll10_mean,15.362528800964355,37.0,2262.923583984375
DIFF_FF_OPP_EFG_PCT_roll10_mean,15.347620010375977,91.0,2527.337158203125
DIFF_TRAD_FTM_roll3_std,15.21936321258545,43.0,2447.385986328125
is_playoffs,15.109380722045898,30.0,1328.68408203125
DIFF_MISC_OPP_PTS_OFF_TO_roll10_mean,15.012261390686035,23.0,2554.603759765625
DIFF_TRAD_DREB_roll5_mean,14.235359191894531,17.0,561.0094604492188
DIFF_SCOR_PCTPTS_PITP_roll10_mean,13.339492797851562,4.0,973.6087646484375
DIFF_TRAD_PF_roll10_std,13.154330253601074,47.0,1820.6993408203125
DIFF_TRAD_3PM_roll10_mean,12.929481506347656,5.0,938.6217041015625
DIFF_TRAD_TOV_roll3_std,12.875747680664062,35.0,1224.949951171875
DIFF_TRAD_PF_roll5_mean,12.415838241577148,25.0,1859.760986328125
DIFF_ADV_TS_PCT_roll10_mean,12.276278495788574,70.0,2107.247802734375
DIFF_TRAD_DREB_roll3_std,12.246589660644531,38.0,1940.8260498046875
DIFF_TRAD_DREB_roll3_mean,12.10840892791748,18.0,2171.510009765625
DIFF_TRAD_FGA_roll10_std,12.013869285583496,39.0,2036.3990478515625
DIFF_rest_days_roll10_mean,11.83312702178955,121.0,2544.43505859375
DIFF_TRAD_3PA_roll10_std,11.695870399475098,26.0,1416.0645751953125
DIFF_TRAD_AST_roll10_std,11.479430198669434,54.0,1921.7867431640625
DIFF_TRAD_3PM_roll3_std,11.282522201538086,16.0,856.14404296875
DIFF_SCOR_FGM__PCTUAST_roll10_std,11.282081604003906,6.0,426.85498046875
DIFF_rest_days_roll5_mean,11.227705001831055,47.0,2678.710205078125
DIFF_TRAD_FTM_roll3_mean,11.218737602233887,15.0,1029.1378173828125
DIFF_TRAD_FTM_roll5_mean,11.128031730651855,13.0,1697.1221923828125
DIFF_SCOR_2FGM__PCTUAST_roll3_std,11.106054306030273,5.0,498.38037109375
DIFF_MISC_FBPS_roll3_std,11.10432243347168,54.0,1704.8223876953125
DIFF_TRAD_TOV_roll5_mean,11.038448333740234,20.0,985.0730590820312
DIFF_FF_OPP_EFG_PCT_roll5_mean,10.968561172485352,29.0,1259.5050048828125
DIFF_SCOR_PCTFGA_3PT_roll3_std,10.901751518249512,12.0,1093.179443359375
DIFF_FF_EFG_PCT_roll10_mean,10.8764009475708,16.0,1889.03076171875
DIFF_TRAD_AST_roll3_std,10.818486213684082,30.0,1030.3695068359375
DIFF_TRAD_PF_roll3_std,10.777507781982422,36.0,1410.623046875
DIFF_SCOR_FGM__PCTUAST_roll5_mean,10.747464179992676,3.0,254.9351043701172
DIFF_ADV_AST_PCT_roll3_mean,10.727392196655273,7.0,919.0514526367188
DIFF_SCOR_PCTPTS_FBPS_roll3_std,10.72284984588623,21.0,1126.302978515625
DIFF_TRAD_FTM_roll10_mean,10.719374656677246,15.0,1759.5704345703125
DIFF_TRAD_BLK_roll10_std,10.668952941894531,38.0,1666.4459228515625
DIFF_MISC_FBPS_roll5_mean,10.644786834716797,12.0,520.0285034179688
DIFF_TRAD_FGM_roll3_mean,10.524930953979492,20.0,1307.0296630859375
DIFF_TRAD_3PA_roll10_mean,10.460844039916992,20.0,2927.394287109375
DIFF_ADV_EFG_PCT_roll10_mean,10.450431823730469,17.0,1606.0908203125
DIFF_FF_EFG_PCT_roll10_std,10.444319725036621,3.0,215.46424865722656
DIFF_SCOR_2FGM__PCTAST_roll10_std,10.362573623657227,10.0,555.3871459960938
DIFF_FF_OPP_EFG_PCT_roll5_std,10.362560272216797,24.0,1123.5013427734375
DIFF_SCOR_PCTFGA_2PT_roll10_std,10.333257675170898,25.0,738.07080078125
DIFF_ADV_TS_PCT_roll3_std,10.323660850524902,15.0,698.5074462890625
DIFF_ADV_DEFRTG_roll5_mean,10.295659065246582,48.0,1546.1787109375
DIFF_TRAD_BLK_roll5_std,10.292080879211426,16.0,844.5101318359375
DIFF_TRAD_AST_roll3_mean,10.252615928649902,11.0,1039.4578857421875
DIFF_FF_FTA_RATE_roll10_mean,10.210966110229492,13.0,1275.70361328125
DIFF_FF_OPP_FTA_RATE_roll5_std,10.167535781860352,45.0,1719.87744140625
DIFF_TRAD_STL_roll3_mean,10.134239196777344,17.0,1934.02685546875
DIFF_FF_TOV_PCT_roll3_mean,10.068018913269043,10.0,1173.1910400390625
DIFF_ADV_AST_TO_roll10_std,10.067342758178711,40.0,1949.638427734375
DIFF_TRAD_3PM_roll3_mean,10.002352714538574,15.0,2514.106689453125
DIFF_TRAD_BLK_roll3_mean,9.99390697479248,15.0,1197.3504638671875
DIFF_SCOR_3FGM__PCTAST_roll5_mean,9.968244552612305,24.0,1296.010498046875
DIFF_ADV_TS_PCT_roll5_mean,9.963277816772461,4.0,1174.26904296875
DIFF_TRAD_FG_PCT_roll3_std,9.930346488952637,27.0,1329.300048828125
DIFF_SCOR_PCTPTS_3PT_roll3_mean,9.925447463989258,11.0,582.7479858398438
DIFF_TRAD_STL_roll3_std,9.907549858093262,38.0,1525.9031982421875
DIFF_FF_FTA_RATE_roll3_std,9.890411376953125,21.0,1251.329833984375
DIFF_MISC_2ND_PTS_roll3_std,9.886605262756348,50.0,1502.4002685546875
DIFF_TRAD_3P_PCT_roll5_std,9.843039512634277,25.0,745.6062622070312
DIFF_SCOR_PCTPTS_OFF_TO_roll5_mean,9.838628768920898,7.0,971.5062255859375
DIFF_SCOR_FGM__PCTUAST_roll3_mean,9.830841064453125,4.0,523.6806640625
DIFF_SCOR_2FGM__PCTAST_roll3_mean,9.820830345153809,18.0,2079.651123046875
DIFF_MISC_FBPS_roll3_mean,9.805585861206055,17.0,1127.694091796875
